commander_name,recommended_creature_name,synergy_percentage
The Ur-Dragon,"Miirym, Sentinel Wyrm",0.69
The Ur-Dragon,Tiamat,0.62
The Ur-Dragon,"Atarka, World Render",0.6
The Ur-Dragon,"Lathliss, Dragon Queen",0.57
The Ur-Dragon,Dragonspeaker Shaman,0.53
The Ur-Dragon,Dragonlord Dromoka,0.52
The Ur-Dragon,Terror of the Peaks,0.51
The Ur-Dragon,Old Gnawbone,0.5
The Ur-Dragon,Rivaz of the Claw,0.5
The Ur-Dragon,Utvara Hellkite,0.49
The Ur-Dragon,Dragonlord's Servant,0.49
The Ur-Dragon,"Morophon, the Boundless",0.4
The Ur-Dragon,Goldspan Dragon,0.47
The Ur-Dragon,Hellkite Courser,0.47
The Ur-Dragon,Scourge of Valkas,0.45
The Ur-Dragon,"Sarkhan, Soul Aflame",0.43
The Ur-Dragon,Ancient Copper Dragon,0.42
The Ur-Dragon,"Rith, Liberated Primeval",0.42
The Ur-Dragon,Ancient Silver Dragon,0.37
The Ur-Dragon,"Silumgar, the Drifting Death",0.36
The Ur-Dragon,Bladewing the Risen,0.35
The Ur-Dragon,"Klauth, Unrivaled Ancient",0.35
The Ur-Dragon,Balefire Dragon,0.35
The Ur-Dragon,Ureni of the Unwritten,0.32
The Ur-Dragon,Savage Ventmaw,0.34
The Ur-Dragon,Scion of the Ur-Dragon,0.33
The Ur-Dragon,"Ramos, Dragon Engine",0.3
The Ur-Dragon,Ancient Gold Dragon,0.32
The Ur-Dragon,Twinflame Tyrant,0.3
The Ur-Dragon,Scalelord Reckoner,0.32
The Ur-Dragon,Two-Headed Hellkite,0.28
The Ur-Dragon,Birds of Paradise,0.1
The Ur-Dragon,Scion of Draco,0.29
The Ur-Dragon,Roaming Throne,0.2
The Ur-Dragon,Ancient Brass Dragon,0.26
The Ur-Dragon,"Ganax, Astral Hunter",0.25
The Ur-Dragon,Thrakkus the Butcher,0.25
The Ur-Dragon,"Korlessa, Scale Singer",0.24
The Ur-Dragon,Hellkite Tyrant,0.22
